Electrode_i,Electrode_j,Voltage_V,Reciprocity_Error_V
1,1,1.33,0
2,1,1.2,0.23
3,1,1.11,0.2
4,1,1.27,0.11
5,1,1.35,0.11
6,1,1.42,0.25
7,1,1.27,0.17
8,1,1.19,0.0700000000000001
9,1,1.13,0.14
10,1,1.32,0.03
11,1,1.34,0.02
12,1,1.37,0.0299999999999998
13,1,1.21,0.13
14,1,1.19,0.15
15,1,1.21,0.03
16,1,1.37,0.0800000000000001
1,2,1.43,0.23
2,2,1.4,0
3,2,1.22,0.15
4,2,1.22,0.23
5,2,1.31,0.0799999999999998
6,2,1.47,0.0700000000000001
7,2,1.43,0.22
8,2,1.3,0.0900000000000001
9,2,1.17,0.02
10,2,1.3,0.03
11,2,1.39,0.0999999999999999
12,2,1.45,0.02
13,2,1.34,0.0699999999999998
14,2,1.28,0.15
15,2,1.21,0.19
16,2,1.35,0.0899999999999999
1,3,1.31,0.2
2,3,1.37,0.15
3,3,1.23,0
4,3,1.19,0.15
5,3,1.17,0.16
6,3,1.34,0.0899999999999999
7,3,1.37,0.04
8,3,1.35,0.0600000000000001
9,3,1.14,0.0199999999999998
10,3,1.15,0.02
11,3,1.26,0.0900000000000001
12,3,1.4,0.15
13,3,1.34,0.12
14,3,1.26,0.12
15,3,1.16,0.2
16,3,1.23,0.21
1,4,1.38,0.11
2,4,1.45,0.23
3,4,1.34,0.15
4,4,1.3,0
5,4,1.21,0.0700000000000001
6,4,1.33,0.0899999999999999
7,4,1.41,0
8,4,1.49,0.01
9,4,1.3,0.01
10,4,1.23,0.05
11,4,1.2,0.01
12,4,1.42,0.21
13,4,1.44,0.28
14,4,1.41,0.11
15,4,1.24,0.01
16,4,1.24,0.14
1,5,1.24,0.11
2,5,1.39,0.0799999999999998
3,5,1.33,0.16
4,5,1.28,0.0700000000000001
5,5,1.19,0
6,5,1.21,0.04
7,5,1.26,0.01
8,5,1.38,0.0700000000000001
9,5,1.34,0.03
10,5,1.25,0.11
11,5,1.1,0.17
12,5,1.23,0.03
13,5,1.35,0.2
14,5,1.43,0.22
15,5,1.25,0.14
16,5,1.17,0.0700000000000001
1,6,1.17,0.25
2,6,1.4,0.0700000000000001
3,6,1.43,0.0899999999999999
4,6,1.42,0.0899999999999999
5,6,1.25,0.04
6,6,1.29,0
7,6,1.3,0.1
8,6,1.42,0.0899999999999999
9,6,1.4,0.0299999999999998
10,6,1.41,0.0600000000000001
11,6,1.25,0.12
12,6,1.21,0.23
13,6,1.3,0.05
14,6,1.48,0.15
15,6,1.45,0.19
16,6,1.35,0.0800000000000001
1,7,1.1,0.17
2,7,1.21,0.22
3,7,1.33,0.04
4,7,1.41,0
5,7,1.27,0.01
6,7,1.2,0.1
7,7,1.17,0
8,7,1.32,0.12
9,7,1.32,0.15
10,7,1.39,0.0599999999999998
11,7,1.25,0.0900000000000001
12,7,1.2,0.24
13,7,1.15,0.2
14,7,1.34,0.0499999999999998
15,7,1.36,0.02
16,7,1.36,0
1,8,1.26,0.0700000000000001
